itinerary_id,n_points,total_distance_m,total_distance_km
1,201,99233.29999999999,99.23329999999999
2,185,99693.70000000001,99.6937
3,167,99483.00000000001,99.48300000000002
4,185,95753.60000000008,95.75360000000008
5,144,99424.59999999998,99.42459999999997
6,115,99599.40000000002,99.59940000000002
7,3,11438.2,11.4382
