point_id,lon,lat,highway,itinerary_id,osrm_travel_distance
537,78.50366704999999,17.477410499999998,residential,1,
731,78.5095608,17.47723535,residential,1,723.0
520,78.5121187,17.47852325,residential,1,577.6
806,78.51301545,17.4798154,residential,1,236.0
86,78.5119153,17.47954075,residential,1,151.0
39,78.5079951,17.478559699999998,residential,1,718.3
379,78.50720525,17.46975075,residential,1,1556.0
481,78.50670235,17.467626199999998,residential,1,316.4
428,78.50787585,17.467709499999998,residential,1,160.0
377,78.50783444999999,17.473172249999998,residential,1,1130.8
434,78.50318935,17.4738269,residential,1,531.0
183,78.502209,17.4751224,residential,1,736.8
565,78.49803835,17.4749355,residential,1,502.5
148,78.49698575,17.47581035,residential,1,219.5
791,78.4958624,17.46929515,secondary,1,1547.5
624,78.4935137,17.46644835,secondary,1,435.9
812,78.4932717,17.466087100000003,secondary,1,47.5
500,78.4928844,17.46574025,residential,1,66.8
916,78.49549845,17.46539805,residential,1,518.0
21,78.49624895,17.464734,residential,1,293.4
375,78.4916937,17.459567749999998,residential,1,1109.5
603,78.4942586,17.45838555,residential,1,600.1
395,78.4971698,17.45707655,residential,1,404.8
128,78.49155569999999,17.4548877,residential,1,783.0
274,78.48777025000001,17.4556033,residential,1,536.9
885,78.4880981,17.45080765,secondary,1,860.5
841,78.49004685,17.452722100000003,residential,1,375.7
325,78.4962883,17.448881450000002,secondary,1,988.2
730,78.49622124999999,17.44595985,primary,1,794.7
810,78.49957055,17.451564599999998,residential,1,847.4
657,78.50049165,17.45261865,residential,1,180.2
343,78.50176555,17.45123365,residential,1,435.8
149,78.5007851,17.449384950000002,residential,1,309.2
881,78.50247295,17.448879,residential,1,243.4
102,78.50191835000001,17.4487388,residential,1,410.1
58,78.4996195,17.44798305,residential,1,600.3
714,78.5063768,17.44915685,residential,1,943.8
805,78.50672555,17.44980275,residential,1,111.3
234,78.50416835,17.451524749999997,residential,1,476.5
336,78.50786360000001,17.4534255,residential,1,663.4
0,78.5107094,17.453487799999998,residential,1,399.9
450,78.51417219999999,17.4510367,residential,1,894.1
469,78.50745205,17.4403983,primary,1,1990.8
98,78.50528915,17.44085795,secondary,1,962.5
525,78.50377555,17.43584,tertiary,1,610.9
852,78.50189135,17.4374495,residential,1,321.8
2,78.50042375,17.4373167,tertiary,1,217.2
93,78.50038375,17.4357771,secondary,1,219.8
223,78.49888490000001,17.43881965,residential,1,406.5
338,78.49519425,17.4382395,residential,1,815.0
801,78.4951451,17.438084,residential,1,18.3
676,78.49502430000001,17.433424600000002,tertiary,1,858.8
580,78.49520480000001,17.4331943,residential,1,209.1
850,78.49185935,17.4310138,residential,1,555.4
430,78.49116235,17.43053565,residential,1,104.9
384,78.492448,17.43015545,residential,1,310.5
382,78.4919223,17.4294187,residential,1,127.6
387,78.4943025,17.42757,residential,1,538.8
773,78.49389895,17.425639850000003,residential,1,239.8
230,78.49556595000001,17.4260473,residential,1,253.9
374,78.49784385000001,17.42555425,residential,1,351.6
282,78.5006579,17.425205300000002,residential,1,475.3
348,78.4978782,17.4221566,residential,1,571.9
256,78.4938478,17.4199787,residential,1,1047.1
672,78.4938478,17.4199787,residential,1,0.0
848,78.49479045000001,17.417844549999998,residential,1,397.7
478,78.49645895,17.4160192,residential,1,385.7
410,78.49598575,17.41394025,residential,1,516.4
530,78.49124975000001,17.41206915,residential,1,756.9
10,78.48998895,17.411870399999998,residential,1,275.6
501,78.4887195,17.40920455,residential,1,580.1
902,78.48274775,17.4113654,primary,1,689.5
532,78.47886335,17.4092436,residential,1,593.2
853,78.47869705,17.40715345,residential,1,304.0
413,78.4765512,17.408703799999998,residential,1,465.4
800,78.47442115,17.40840365,trunk,1,705.4
46,78.4750884,17.4055903,residential,1,885.5
447,78.47517065,17.4062657,residential,1,84.1
317,78.47254255,17.402474050000002,residential,1,884.4
954,78.47603914999999,17.40252425,secondary,1,632.6
634,78.47993890000001,17.398659700000003,residential,1,1779.1
153,78.48043325,17.3968989,residential,1,505.1
237,78.48132964999999,17.395817899999997,residential,1,342.6
942,78.48231435,17.395545,residential,1,660.8
614,78.48635515000001,17.3973074,residential,1,819.1
492,78.48385365,17.4008663,residential,1,647.6
858,78.489557,17.401258300000002,residential,1,837.5
909,78.49291065,17.398771,tertiary,1,505.5
844,78.490666,17.39469305,residential,1,663.0
11,78.4907851,17.39610365,residential,1,559.9
599,78.49888765,17.3944546,tertiary,1,1127.7
211,78.49406015,17.39337405,tertiary,1,827.4
843,78.49106845,17.392784050000003,residential,1,570.0
208,78.49433815,17.38916,residential,1,781.6
88,78.48888665,17.38581515,residential,1,959.9
416,78.49221595,17.38289055,residential,1,646.6
488,78.49245694999999,17.37597105,tertiary,1,864.4
967,78.49030085,17.37654105,residential,1,458.6
732,78.48927195,17.377470250000002,primary,1,293.7
179,78.488352,17.37633125,residential,1,224.8
42,78.48700725,17.37711715,residential,1,285.2
36,78.48463290000001,17.374743199999998,residential,1,441.0
854,78.48448110000001,17.3737496,residential,1,238.5
13,78.4873672,17.3714344,residential,1,541.5
69,78.488642,17.37291425,residential,1,287.6
258,78.4835994,17.36942715,residential,1,969.7
606,78.48415315,17.367325549999997,residential,1,327.2
510,78.48542155,17.364262949999997,residential,1,661.9
522,78.48843155,17.36578075,residential,1,506.4
534,78.4888584,17.365795499999997,residential,1,55.3
95,78.4912151,17.3669713,secondary,1,873.2
531,78.49243089999999,17.36874885,residential,1,1086.7
418,78.49296815,17.369655299999998,residential,1,177.5
799,78.49384225,17.3691181,residential,1,244.7
781,78.4965636,17.370966,residential,1,452.2
285,78.49721805,17.3713118,residential,1,192.7
310,78.49620300000001,17.37307955,residential,1,333.8
551,78.49568869999999,17.3748005,residential,1,439.5
136,78.498969,17.371049050000003,residential,1,1048.9
391,78.4984156,17.37336265,residential,1,386.6
784,78.5024559,17.37364755,tertiary,1,983.3
398,78.50162209999999,17.37694535,residential,1,551.5
542,78.49866195,17.37895135,residential,1,689.1
943,78.5027911,17.383908,residential,1,884.0
25,78.50323695,17.3841324,residential,1,59.7
674,78.50479985000001,17.38472965,residential,1,191.8
199,78.50789995,17.383963,residential,1,405.8
892,78.50983845,17.38365455,residential,1,301.8
817,78.51019115,17.38271705,residential,1,136.7
33,78.5134297,17.3807394,residential,1,681.5
604,78.51336384999999,17.3793386,residential,1,192.4
787,78.50804045,17.3730454,residential,1,1234.2
157,78.508892,17.372135049999997,tertiary,1,750.1
363,78.5050755,17.3722182,residential,1,518.3
855,78.50758695,17.366755150000003,residential,1,926.3
272,78.50795049999999,17.36434355,tertiary,1,363.1
45,78.50726159999999,17.3610173,residential,1,541.1
818,78.5060953,17.3600528,tertiary,1,215.7
264,78.50505525,17.35860255,primary,1,201.5
936,78.5028758,17.35734805,residential,1,461.7
239,78.5051518,17.3548417,residential,1,537.8
831,78.50049215,17.3547188,residential,1,729.4
144,78.49732904999999,17.35547205,residential,1,439.5
934,78.49732405,17.3556011,residential,1,14.3
303,78.49526585000001,17.3556222,residential,1,359.9
719,78.49390840000001,17.355404800000002,residential,1,226.1
124,78.49518165,17.35400005,residential,1,372.7
116,78.4932205,17.35398165,residential,1,316.3
247,78.4937261,17.3532751,residential,1,128.7
108,78.49367995,17.35261155,secondary,1,256.4
972,78.4926553,17.3510922,residential,1,279.1
268,78.49032645,17.347363700000002,residential,1,663.9
588,78.4951173,17.34614235,residential,1,598.4
162,78.49465945,17.34527545,residential,1,139.6
690,78.49665010000001,17.343914849999997,residential,1,347.8
760,78.4959193,17.341350650000003,residential,1,407.2
541,78.4952557,17.33959545,tertiary,1,258.9
367,78.49229460000001,17.339018799999998,residential,1,405.3
50,78.49102745,17.338585950000002,tertiary,1,220.0
81,78.4895454,17.34005705,residential,1,261.4
493,78.48749190000001,17.342402749999998,residential,1,498.1
782,78.4869453,17.34318495,residential,1,257.7
499,78.4866766,17.3442157,residential,1,143.6
409,78.4848695,17.3422846,residential,1,388.4
889,78.48335265,17.340208699999998,residential,1,368.5
