lon,lat,highway,point_id,osrm_travel_distance,itinerary_id
77.26662995000001,28.66633775,residential,0,,1
77.26203770000001,28.66752845,residential,54,619.7,1
77.2663675,28.66156375,residential,835,1140.4,1
77.27089805,28.6610559,residential,92,623.2,1
77.27269355,28.6619393,residential,672,245.1,1
77.27316395,28.65656885,tertiary,262,821.2,1
77.26598945,28.65805475,residential,618,932.8,1
77.2685008,28.65387525,residential,512,1384.7,1
77.26956135,28.64609065,residential,188,1065.9,1
77.2709259,28.648677,residential,640,509.7,1
77.2719878,28.6434007,residential,711,800.7,1
77.27421495,28.63826115,residential,975,1354.2,1
77.2745951,28.63557135,residential,453,454.7,1
77.2720438,28.632325100000003,unclassified,435,626.6,1
77.2816913,28.6255769,residential,374,1482.3,1
77.28279445000001,28.62689065,residential,617,240.1,1
77.2850013,28.62810395,residential,230,337.8,1
77.28316865,28.63044805,residential,11,410.5,1
77.28864785,28.6336064,residential,362,858.8,1
77.29934499999999,28.6400266,residential,624,1418.4,1
77.29887744999999,28.6427334,residential,291,530.7,1
77.30057504999999,28.64780235,residential,25,909.2,1
77.30425995,28.64865375,secondary,788,608.5,1
77.302466,28.64986195,residential,264,468.9,1
77.31102440000001,28.65059575,residential,242,1180.7,1
77.3140579,28.65466105,residential,290,736.1,1
77.30748795,28.65890075,residential,608,1472.1,2
77.30615929999999,28.65939845,residential,997,306.7,2
77.30787815,28.6624613,residential,544,708.8,2
77.3090081,28.6634362,residential,652,224.9,2
77.31743525,28.6607536,residential,281,1338.2,2
77.3166355,28.66308145,residential,152,412.5,2
77.31960425,28.66635105,residential,958,613.5,2
77.31890064999999,28.66664295,residential,227,90.8,2
77.3199923,28.6671033,residential,690,161.1,2
77.31634695,28.6674375,residential,175,790.4,2
77.3155409,28.6687049,residential,995,840.8,2
77.31215515,28.6662568,tertiary,935,890.1,2
77.29444225,28.66486975,residential,8,1985.1,2
77.29249444999999,28.664273,residential,420,229.4,2
77.28903935,28.66753295,tertiary,287,593.8,2
77.28663845,28.66418845,residential,612,582.5,2
77.28625224999999,28.65843125,tertiary,208,862.7,2
77.28491155,28.655036,residential,809,540.6,2
77.28455305,28.6528453,residential,425,383.9,2
77.28524785,28.647404799999997,residential,495,703.4,2
77.28990245,28.6549274,residential,960,1210.7,2
77.29079114999999,28.65677905,residential,106,291.6,2
77.2948362,28.65286165,residential,185,771.1,2
77.295083,28.65170315,residential,506,130.8,2
77.29219245,28.65940185,residential,883,962.4,2
77.2787385,28.66458905,residential,577,1981.4,2
77.27848125,28.66301345,residential,245,263.1,2
77.28029755,28.67319635,primary,504,1942.0,3
77.27388450000001,28.67192345,trunk,345,720.1,3
77.27253540000001,28.68410155,residential,101,2309.1,3
77.27355850000001,28.68698755,residential,85,488.9,3
77.2732934,28.6936642,residential,891,983.7,3
77.2734238,28.69522515,residential,887,390.8,3
77.27351189999999,28.6960134,residential,144,522.5,3
77.26501719999999,28.6908872,residential,186,1640.4,3
77.26157055,28.69109705,residential,566,453.0,3
77.26116145,28.69273465,residential,61,539.3,3
77.2635794,28.69435165,residential,475,424.3,3
77.25648559999999,28.69601775,residential,792,863.8,3
77.25864285,28.69919555,residential,142,465.8,3
77.25459190000001,28.69057155,residential,105,1251.4,3
77.2575812,28.6876742,residential,219,544.1,3
77.25680274999999,28.68611775,residential,77,356.9,3
77.25643685,28.6848129,residential,542,310.2,3
77.2597919,28.68740645,residential,785,519.1,3
77.2504185,28.703485899999997,residential,70,2965.0,3
77.2555467,28.70700375,residential,137,1295.1,3
77.26331455,28.70716135,tertiary,486,1333.6,4
77.2650419,28.70393395,residential,455,425.5,4
77.26520984999999,28.70437405,residential,238,298.5,4
77.26704319999999,28.7037306,residential,915,411.1,4
77.2627927,28.70362145,trunk,334,625.0,4
77.2717729,28.70705195,tertiary,938,1080.4,4
77.27680055,28.709733550000003,tertiary,656,702.6,4
77.28240495,28.7137686,residential,131,1039.9,4
77.28501745,28.71881855,residential,387,836.9,4
77.28680349999999,28.72025285,residential,952,334.4,4
77.28731755,28.7236635,residential,163,416.6,4
77.28240295,28.7282627,residential,768,1040.4,4
77.28042185000001,28.72897055,residential,874,263.3,4
77.27958530000001,28.7251707,residential,184,588.3,4
77.2755809,28.719424250000003,residential,42,1104.7,4
77.27103155,28.72536875,residential,878,977.1,4
77.26852685,28.7258785,residential,667,386.4,4
77.26785385,28.72874535,residential,580,489.1,4
77.26390065000001,28.7288236,residential,72,403.6,4
77.2624731,28.73032545,residential,787,389.5,4
77.2623709,28.73292075,residential,737,410.8,4
77.27315114999999,28.7339616,residential,594,1404.6,4
77.26630130000001,28.7222103,residential,884,1609.7,4
77.2587025,28.70485595,residential,399,2550.2,4
77.28517695,28.70408035,residential,114,3317.1,5
77.289913,28.70625835,residential,490,684.9,5
77.2874041,28.7095847,residential,924,905.1,5
77.30575185000001,28.70108135,residential,807,3281.6,5
77.30207535,28.6963245,residential,573,885.8,5
77.30512454999999,28.69090995,residential,682,897.6,5
77.3086903,28.691647850000003,residential,147,406.2,5
77.31141285000001,28.68216275,residential,713,1356.6,5
77.31562635,28.6848782,residential,732,817.6,5
77.32462475,28.6902235,residential,678,1153.6,5
77.3285384,28.6871035,residential,384,638.8,5
77.32439525000001,28.69443105,residential,460,1446.2,5
77.3070523,28.67555405,residential,407,4162.0,5
77.29279045,28.6752607,residential,207,1553.9,6
77.2931942,28.67957665,residential,422,824.8,6
77.29863435,28.6791377,residential,141,681.4,6
77.28810179999999,28.6832348,residential,209,1564.2,6
77.28672355,28.68245745,residential,378,216.7,6
77.28500765000001,28.6805204,residential,643,346.5,6
77.28217985,28.68089845,residential,880,350.1,6
77.27989640000001,28.6796653,residential,363,345.1,6
77.2834692,28.68650325,residential,30,1241.9,6
77.25202045,28.6726447,residential,585,4889.1,6
77.22435265,28.66385745,residential,946,3497.5,6
77.21552685,28.66268935,secondary,881,1176.1,6
77.21212585,28.6622201,residential,192,407.9,6
77.2109785,28.66060455,residential,280,239.4,6
77.20712359999999,28.663173899999997,secondary,999,992.6,6
77.20712595,28.6727788,tertiary,934,1189.5,6
77.19607264999999,28.68166525,residential,421,1803.6,7
77.1942408,28.6780507,residential,412,633.7,7
77.1997174,28.68873585,residential,861,1711.9,7
77.206164,28.68695705,tertiary,37,984.6,7
77.19631185,28.69314225,residential,829,1500.4,7
77.1803942,28.708432,residential,991,2867.2,7
77.1810938,28.7087832,residential,773,110.5,7
77.17852755,28.7119096,residential,197,1213.0,7
77.1783081,28.71454895,residential,637,548.2,7
77.16938329999999,28.7219664,residential,60,2146.7,7
77.16716095000001,28.7281154,residential,23,961.9,7
77.16711275,28.73113155,residential,531,458.9,7
77.1633407,28.7257057,residential,145,963.0,7
77.1572615,28.7238122,residential,781,1498.4,7
77.1593123,28.71814785,residential,127,1376.6,7
77.15714255,28.71457565,residential,17,619.0,7
77.16588229999999,28.7052816,residential,968,1493.1,8
77.16961475,28.699311,residential,24,1232.8,8
77.1697447,28.69224025,residential,923,1268.1,8
77.1765499,28.69111365,secondary,929,882.4,8
77.18280465000001,28.69256595,residential,18,791.5,8
77.17609304999999,28.7003155,residential,317,1426.9,8
77.174251,28.68862655,residential,121,2034.7,8
