itinerary_id,n_points,total_distance_m,total_distance_km
1,26,,
2,27,19342.4,19.3424
3,20,18985.5,18.9855
4,24,19122.2,19.1222
5,13,19953.1,19.9531
6,16,19516.7,19.5167
7,16,19397.6,19.397599999999997
8,19,19912.7,19.9127
9,23,19779.5,19.7795
10,22,19389.4,19.389400000000002
11,18,19288.0,19.288
12,26,19423.8,19.4238
13,14,19505.4,19.5054
14,18,19770.2,19.7702
15,10,19287.2,19.287200000000002
16,13,19432.5,19.4325
17,23,19946.3,19.9463
18,13,17293.1,17.2931
19,15,19432.8,19.4328
20,14,19649.1,19.649099999999997
21,11,19677.3,19.6773
22,20,19654.8,19.654799999999998
23,28,19806.5,19.8065
24,15,19210.7,19.2107
25,13,19244.600000000002,19.244600000000002
26,6,16093.6,16.093600000000002
27,8,19492.8,19.4928
28,9,16833.2,16.8332
29,6,18806.6,18.8066
30,9,19290.7,19.2907
31,10,19021.3,19.0213
32,11,16073.2,16.0732
33,6,18126.5,18.1265
34,8,17711.1,17.7111
35,18,19508.0,19.508
36,8,17016.1,17.016099999999998
37,6,19575.100000000002,19.575100000000003
38,9,19686.4,19.686400000000003
39,19,19353.1,19.353099999999998
40,6,18391.0,18.391
41,3,15309.2,15.3092
42,9,18030.0,18.03
43,21,17750.4,17.750400000000003
44,17,19691.8,19.6918
45,11,18759.6,18.7596
46,7,19583.9,19.5839
47,19,19306.3,19.3063
48,13,17856.2,17.8562
49,4,9128.9,9.1289
50,3,19847.7,19.8477
51,12,19005.9,19.0059
52,18,19225.8,19.2258
53,16,19941.1,19.9411
54,15,19500.2,19.5002
55,21,19396.1,19.396099999999997
56,13,19957.6,19.9576
57,17,19554.2,19.5542
58,11,17507.5,17.5075
59,14,18857.4,18.857400000000002
60,4,19703.3,19.7033
61,4,17147.8,17.1478
62,12,19505.0,19.505
63,8,18439.2,18.4392
64,2,16279.4,16.2794
65,2,18555.5,18.5555
66,3,16497.9,16.4979
67,7,19253.0,19.253
68,9,19865.6,19.865599999999997
69,8,19554.600000000002,19.5546
70,3,19333.2,19.3332
71,13,18426.3,18.426299999999998
72,9,19487.7,19.4877
73,12,19981.399999999998,19.981399999999997
74,7,19296.3,19.2963
75,10,19451.6,19.4516
76,5,19621.1,19.6211
77,2,18053.7,18.0537
78,2,19978.9,19.978900000000003
79,5,13790.1,13.7901
80,9,19878.3,19.8783
81,7,7683.0,7.683
82,4,19309.4,19.3094
83,9,19879.2,19.8792
84,3,14924.800000000001,14.924800000000001
85,1,7871.6,7.8716
