osm_id,name,ref,type,oneway,bridge,maxspeed,start_lat,start_long,end_lat,end_long,LENGTH_M,SEGMENT_PART,travel_distance,itinerary_id
122166660,,,residential,0,0,,72.8473711,19.043585,72.8471602,19.0455582,68.8267187333164,,68.8267187333164,6
369464198,Mahim Sion Link Road,,secondary,1,1,,72.8479987,19.0458836,72.8481774,19.0459207,19.907741669472625,,19.907741669472625,6
1196691329,Dharavi Main Road,,residential,0,1,,72.8485447,19.0436768,72.8485861,19.0436795,4.604321270394713,,4.604321270394713,6
229370227,,,footway,0,0,,72.8491415,19.045973,72.8493664,19.0453766,31.746185869471034,,31.746185869471034,6
228355340,,,residential,0,0,,72.8494694,19.0439704,72.8501063,19.042492,85.82143309583712,,85.82143309583712,6
228983530,,,residential,0,0,,72.8496433,19.0433125,72.8498202,19.0434436,20.134603621836906,,20.134603621836906,6
404209898,,,footway,0,0,,72.8482519,19.039145,72.8484227,19.0392112,19.11575284471715,,19.11575284471715,6
1188789185,,,residential,0,0,,72.849942,19.0369416,72.8505483,19.0378815,74.12716086676284,,74.12716086676284,6
1303211630,,,residential,0,0,,72.8522914,19.0360916,72.8520439,19.0357058,30.288115079830042,,30.288115079830042,6
1152856738,Jasmine Mill Road,,residential,0,0,,72.8532538,19.0370683,72.850515,19.0391416,312.0342503920402,,312.0342503920402,6
787572205,60 Feet Road,,secondary,1,0,,72.8536265,19.0380616,72.85115335,19.04087275,500.0,1.0,290.03379821824535,6
122166728,,,residential,0,0,,72.8551074,19.0374517,72.8567141,19.0387702,183.80971656534697,,183.80971656534697,6
369464219,,,footway,0,0,,72.8561491,19.0368972,72.8583727,19.0396642,263.3599937171013,,263.3599937171013,6
122166632,Sulochana Shetty Marg,,secondary,1,1,,72.8566318,19.0364945,72.856201,19.0367428,48.589195757299265,,48.589195757299265,6
1303208034,,,residential,0,0,,72.8568129,19.0300728,72.8568825,19.0303442,11.790764423464847,,11.790764423464847,6
749647489,,,primary_link,1,0,,72.8577555,19.029146,72.8579128,19.0297985,27.627041395467845,,27.627041395467845,6
216492427,Eastern Express Highway,,trunk,1,0,,72.8579549,19.0306896,72.8586764,19.032401,97.88894498103222,,97.88894498103222,6
618138173,Laxmibai Kelkar Marg,,trunk,1,0,,72.8580523,19.0311621,72.8584316,19.0320681,51.57986813860315,,51.57986813860315,6
216492426,Eastern Express Highway,,trunk,1,0,,72.8587602,19.0323694,72.858034,19.0306613,98.25591857548612,,98.25591857548612,6
215382529,MT Sangam Road,,residential,1,0,,72.8600111,19.0346035,72.8619115,19.0377142,234.6147924505667,,234.6147924505667,6
611811722,Sion Hospital Flyover,,trunk,1,0,,72.8609092,19.0373769,72.8607861,19.0371819,15.106091839951393,,15.106091839951393,6
1190750996,,,tertiary,1,0,,72.8621538,19.033679,72.861556,19.0330822,69.28904036134311,,69.28904036134311,6
788809152,,,residential,0,0,,72.8622153,19.0320927,72.8629226,19.0325191,79.87944801532876,,79.87944801532876,6
1343390136,,,residential,0,0,,72.8625189,19.0294691,72.8625065,19.0297459,9.173652295644391,,9.173652295644391,6
215382476,,,residential,0,0,,72.8625239,19.0287027,72.8624292,19.0273593,45.2590606455828,,45.2590606455828,6
133405010,,,residential,0,0,,72.8630133,19.0294724,72.8611665,19.0289088,206.18346014102073,,206.18346014102073,6
215382485,,,service,0,0,,72.8631369,19.0283873,72.8658318,19.0284352,299.66331687258196,,299.66331687258196,6
788809147,,,residential,0,0,,72.8630447,19.0265893,72.8627169,19.0256519,47.66449349643528,,47.66449349643528,6
1219453116,,,residential,0,0,,72.8627169,19.0256519,72.8626463,19.025442,10.4367845064528,,10.4367845064528,6
1200996959,,,service,0,0,,72.8620003,19.0230764,72.862062,19.0225763,17.764660195124478,,17.764660195124478,6
369464211,,,steps,0,0,,72.8636156,19.0182494,72.8636487,19.0184867,8.601901281289413,,8.601901281289413,6
215382439,,,service,0,0,,72.8632079,19.0158358,72.8621174,19.0161426,121.67402343347557,,121.67402343347557,6
1204355931,,,residential,0,0,,72.8631462,19.0144348,72.8630545,19.0144539,10.215760312899919,,10.215760312899919,6
788927435,,,service,0,0,,72.8614437,19.0143083,72.8622079,19.014831,86.6839999715016,,86.6839999715016,6
788927440,,,service,0,0,,72.8612498,19.0145563,72.8614932,19.0142448,28.925591669640674,,28.925591669640674,6
215382445,,,service,0,0,,72.8610704,19.0158556,72.8619119,19.0156485,93.81628457818405,,93.81628457818405,6
22847265,Road No 14,,residential,0,0,,72.8598365,19.0208928,72.8597978,19.0230938,72.25573066391877,,72.25573066391877,6
1139162912,,,tertiary,1,0,,72.8588599,19.016711,72.8551842,19.0131868,424.7273764862851,,424.7273764862851,6
1139162901,D S Baretto Road,,secondary,1,0,,72.8587301,19.0169826,72.8587567,19.0169654,3.011018395431416,,3.011018395431416,6
1133062855,,,steps,0,1,,72.8584732,19.0153225,72.8585851,19.0154603,13.236920394677872,,13.236920394677872,6
1343435453,,,footway,0,1,,72.858181,19.0154642,72.8582155,19.0155056,4.069099468435672,,4.069099468435672,6
686136669,,,primary_link,0,0,,72.8577204,19.018997,72.8577205,19.0189257,2.336827546495113,,2.336827546495113,6
118555657,,,residential,0,0,,72.8573781,19.0212977,72.8563893,19.0198785,119.38417303438258,,119.38417303438258,6
22848279,Road no.10,,residential,0,0,,72.8573781,19.0212977,72.8576834,19.0230053,65.4570782953997,,65.4570782953997,6
668730724,Nathalal Parekh Road,,primary,1,0,,72.8563546,19.0194988,72.8559049,19.0188703,54.081551158066524,,54.081551158066524,6
1239122773,Nathalal Parekh Road,,tertiary,1,0,,72.8562783,19.019551,72.8570593,19.0246433,188.1472095882799,,188.1472095882799,6
537933498,D S Baretto Road,,secondary,1,0,,72.8565579,19.0182841,72.8558944,19.0187604,75.41149235337072,,75.41149235337072,7
1210692715,,,service,0,0,,72.8566548,19.0143731,72.8566841,19.0143418,3.4157130923450088,,3.4157130923450088,7
1139181306,Rafi Ahmed Kidwai Marg,,primary,1,0,,72.8565182,19.014076850000002,72.8586486,19.0168673,500.0,2.0,253.9307485768949,7
626382673,,,residential,0,0,,72.8556512,19.0098584,72.8574371,19.0094904,198.94898974023158,,198.94898974023158,7
1235771379,,,tertiary,1,0,,72.8543896,19.0099106,72.8541276,19.0048265,169.18714398908295,,169.18714398908295,7
1189613321,,,residential,0,0,,72.8541711,19.0103158,72.8540759,19.0092809,35.538138172162924,,35.538138172162924,7
1139181306,Rafi Ahmed Kidwai Marg,,primary,1,0,,72.8543878,19.0112864,72.8565182,19.014076850000002,500.0,1.0,253.93471937111815,7
1192238450,,,service,0,0,,72.8532328,19.0128034,72.8527651,19.0127143,52.087831998661656,,52.087831998661656,7
1178251849,Sewri Cross Road,,service,0,0,,72.8534426,19.0163637,72.853274,19.0167992,23.564620395290437,,23.564620395290437,7
22848337,Firdausi Road,,residential,0,0,,72.8531949,19.0170014,72.853618,19.0191262,84.0552672878823,,84.0552672878823,7
1235478379,,,tertiary,0,0,,72.8538947,19.0204015,72.8541193,19.0200569,27.410354893185104,,27.410354893185104,7
