itinerary_id,part,google_maps_url
1,1,"https://www.google.com/maps/dir/19.0255655,72.8397849/19.0245504,72.837647/19.0254134,72.8358579/19.0254641,72.8357626/19.0261985,72.8362797/19.0293133,72.837866/19.0297678,72.8382468/19.0304082,72.8384695/19.0303658,72.8385518/19.0312781,72.8400143/19.0295415,72.8415767/19.0315329,72.8420022/19.031514,72.8420862/19.0320796,72.8420472/19.0336313,72.8387896/19.0336434,72.8387007/19.0390818,72.8387464/19.0390538,72.8386577/19.0407347,72.8403301/19.0406862,72.8411159"
1,2,"https://www.google.com/maps/dir/19.041516,72.8388655/19.0407873,72.8380551/19.0389857,72.8408593/19.0389945,72.8409717/19.0388149,72.8409813/19.0390408,72.8418244/19.0410823,72.8416345/19.0414555,72.8425923/19.0404701,72.8438742/19.0404259,72.8444869/19.0394396,72.84452214999999/19.0391306,72.8429386/19.039882,72.8427896/19.0384786,72.8421613/19.0370158,72.8422012/19.037038,72.8415119/19.037038,72.8415119/19.0370488,72.8438519/19.0352931,72.8443852/19.0370622,72.8445032"
1,3,"https://www.google.com/maps/dir/19.0355843,72.8434668/19.0344699,72.8439352/19.0340685,72.8444585/19.0332881,72.8445003/19.033467,72.8463957/19.0322793,72.8459966/19.0322736,72.8460598/19.0317146,72.8457871/19.0310077,72.8443661/19.0292998,72.8427876/19.0279506,72.8415424/19.0280317,72.8401057/19.0219832,72.8379241/19.0190421,72.8364813/19.0189523,72.8363769/19.0185126,72.835894/19.0189436,72.8359669/19.0194036,72.8358884/19.0197737,72.836366/19.0204726,72.8359281"
1,4,"https://www.google.com/maps/dir/19.021783,72.8376082/19.0217944,72.836347/19.0226594,72.834419/19.0227558,72.8343582/19.022535,72.8343444/19.020631,72.8329312/19.0204211,72.8332272/19.0204467,72.8313993/19.0175427,72.8305168/19.0142301,72.8305068/19.0142301,72.8305068/19.0129589,72.8281591/19.013045,72.8281128"
2,1,"https://www.google.com/maps/dir/19.0140644,72.8276301/19.0137002,72.8259471/19.015864,72.8256054/19.0168799,72.8249678/19.016427,72.8255082/19.0172961,72.8259809/19.0160341,72.8236869/19.0169962,72.8227439/19.0165251,72.8223166/19.0149726,72.8233661/19.0132572,72.8239996/19.0128837,72.823958/19.0129665,72.8234217/19.0103628,72.820435/19.0063128,72.8181325/19.006215,72.8216835/19.0062639,72.8232608/19.0085069,72.8232667/19.0026645,72.824687/19.002721,72.824769"
2,2,"https://www.google.com/maps/dir/19.0023229,72.8247027/19.0023608,72.8249072/19.0043918,72.822534/19.0043229,72.8186714/19.0023369,72.8175434/19.0018961,72.8184304/19.0015005,72.8195921/19.0013116,72.8194843/19.0001152,72.8209554/18.9984268,72.8219046/18.99807,72.8219887/19.0004989,72.822922/18.9985847,72.8178783/18.9989015,72.817449/18.9986118,72.8174661/18.9984703,72.8173946/18.9987797,72.8173984/18.9988942,72.8175898/18.9958353,72.8188689/18.9958794,72.8227445"
2,3,"https://www.google.com/maps/dir/18.9942799,72.8197009/18.9942351,72.8195902/18.9921367,72.8208489/18.9915657,72.8210246/18.9941034,72.8196611/18.993602,72.8226185/18.9890264,72.8223752/18.9824892,72.8237987/18.9825464,72.8237143/18.9826124,72.8237595/18.9804008,72.8223011/18.9805014,72.8222483/18.9812827,72.8270837/18.9807259,72.8290664/18.9820376,72.8276931"
3,1,"https://www.google.com/maps/dir/18.9800475,72.830645/18.9775396,72.8305177/18.9772979,72.8321152/18.97750685,72.82953284999999/18.9761776,72.8288171/18.9765473,72.8272728/18.9759675,72.8273492/18.9727762,72.8253154/18.9719149,72.8250327/18.9730623,72.8240514/18.968778,72.8207159/18.9683278,72.824001/18.9682472,72.8239736/18.9676275,72.8264423/18.9655312,72.8261653/18.9650999,72.8280921/18.9661707,72.8281411/18.9657484,72.8286471/18.9648494,72.8294688/18.9652262,72.8286373"
3,2,"https://www.google.com/maps/dir/18.961771,72.8293792/18.960788,72.8285543/18.9624662,72.8278864/18.9629686,72.8275973/18.9616643,72.8262937/18.9616637,72.8261461/18.961844,72.8229696/18.9597324,72.8227482/18.959384,72.8236745/18.95867,72.8251577/18.9583669,72.8260216/18.9581277,72.8262938/18.9581097,72.8256796/18.9571889,72.8248005/18.957454,72.8242843/18.95796945,72.82315595/18.9579359,72.819821/18.9579145,72.8191606/18.9607237,72.8198907/18.9598568,72.8223969"
3,3,"https://www.google.com/maps/dir/18.9612032,72.8188783/18.9601269,72.8216054/18.9581171,72.8230128/18.9568512,72.8255574/18.956311,72.8262391/18.9552692,72.8262201/18.9562443,72.8253061/18.9562243,72.8280386/18.9566683,72.8283794/18.9566344,72.8285637/18.9567917,72.8289378/18.9560112,72.8295514/18.9548164,72.828516/18.9560518,72.827706"
4,1,"https://www.google.com/maps/dir/18.9542456,72.8303346/18.9548037,72.8315791/18.9553608,72.8316578/18.9542159,72.8318124/18.9537918,72.8322835/18.95366485,72.83321140000001/18.9536415,72.8332368/18.9529382,72.8340943/18.9525192,72.8347522/18.9515182,72.8344806/18.9509266,72.8346278/18.950094,72.835699/18.9512526,72.8361485/18.9533387,72.8364598/18.9560011,72.8370306/18.9558468,72.8380691/18.9542775,72.8374411/18.9503797,72.8376467/18.9479706,72.8365582/18.9487625,72.8366209"
4,2,"https://www.google.com/maps/dir/18.9470034,72.8366585/18.9465087,72.8352222/18.9463378,72.8349766/18.9472307,72.8333098/18.9494581,72.831752/18.9501856,72.831431/18.9511703,72.8310026/18.950856,72.833939/18.9498698,72.829971/18.9501613,72.8292105/18.9499164,72.8288129/18.9474943,72.8275015/18.9461837,72.8290585/18.9459158,72.8291422/18.9439935,72.8293792/18.9441124,72.8294742/18.9456236,72.8311421/18.9474296,72.8317585/18.9483041,72.8316423/18.9486161,72.8320855"
4,3,"https://www.google.com/maps/dir/18.9454949,72.8277439/18.9448551,72.8255054/18.9447393,72.82479/18.9459133,72.8251995/18.9488831,72.8253847/18.9489526,72.8242876/18.9491547,72.8231107/18.9511924,72.8233255/18.9515036,72.822994/18.9531896,72.8222348/18.9541279,72.8217207/18.9542988,72.8199951/18.9548182,72.8173679/18.9550028,72.817038/18.954074,72.8172868/18.9566426,72.8156146/18.9566426,72.8156146/18.9567942,72.8156434/18.9571303,72.816535/18.9571528,72.8166212"
4,4,"https://www.google.com/maps/dir/18.9570199,72.8164984/18.9583948,72.8170415/18.9586064,72.8163893/18.9594492,72.8165983/18.9588794,72.8151807/18.9594482,72.8154525/18.9614228,72.8161046/18.9619111,72.8175877/18.9618905,72.8199169"
5,1,"https://www.google.com/maps/dir/18.9638346,72.8183317/18.9638472,72.8183666/18.9643919,72.8201596/18.9654909,72.8225822/18.965523,72.8227933/18.9665146,72.8213038/18.9676896,72.8190695/18.964107,72.8184583/18.9685016,72.8162794/18.9693066,72.8160873/18.9693304,72.8162677/18.9693304,72.8162677/18.9694978,72.8164432/18.9698091,72.8150811/18.9676185,72.814155/18.967641,72.8131054/18.9690176,72.8151575/18.9693234,72.8125779/18.9667063,72.8128284/18.9669707,72.8129431"
5,2,"https://www.google.com/maps/dir/18.9665743,72.8117609/18.9653855,72.8129673/18.9649149,72.8128297/18.963051,72.8140167/18.9619674,72.8134296/18.9617465,72.8132328/18.9614887,72.8132743/18.9618453,72.8130547/18.9604258,72.8139087/18.9590822,72.8135407/18.9590222,72.8126531/18.9581141,72.8108785/18.959535,72.8117577/18.9598123,72.8119718/18.9608608,72.8127946/18.9595995,72.8130377/18.9578597,72.8130773/18.9571028,72.8126474/18.9574154,72.8135888/18.957202,72.8142843"
5,3,"https://www.google.com/maps/dir/18.9567786,72.8152922/18.9545774,72.8154886/18.9542363,72.8157033/18.9562041,72.8139259/18.9563153,72.813911/18.9560119,72.8100617/18.9561469,72.8101521/18.9572873,72.8104824/18.9553634,72.8078058/18.9574277,72.8075939/18.9555069,72.8079887/18.9633509,72.8076156/18.9641537,72.8074612/18.9641537,72.8074612/18.9645482,72.8079779/18.9645482,72.8079779/18.9645405,72.8051706/18.9646146,72.8050696/18.963381,72.8028201/18.9633678,72.8030648"
5,4,"https://www.google.com/maps/dir/18.9605277,72.8019673/18.9571148,72.7997953/18.9570778,72.7998571/18.9547648,72.7985057/18.951969,72.7966978/18.9503691,72.7959552/18.9488753,72.798356"
6,1,"https://www.google.com/maps/dir/18.9498294,72.7995795/18.9519103,72.80143695000001/18.9528258,72.802457/18.9547553,72.8033206/18.9561581,72.8036248/18.9564893,72.8032294/18.9554208,72.8048226/18.9554476,72.8049414/18.950350033333333,72.80095766666666/18.950228233333334,72.80086723333334/18.9489517,72.7958723/18.9495081,72.795133/18.949887,72.7954434/18.9410646,72.7939174/18.9613686,72.803415/18.9690871,72.8036666/18.9675979,72.8053538/18.9737206,72.8058077/18.9740215,72.8052736/18.9737771,72.805154"
6,2,"https://www.google.com/maps/dir/18.9744501,72.8054379/18.9764745,72.8085733/18.9764323,72.80907/18.975365,72.8090748/18.9740491,72.809228/18.9732588,72.8093256/18.9707543,72.8096004/18.9713931,72.8094434/18.9778712,72.8111546/18.9773674,72.8116059/18.9743379,72.8134266/18.9708876,72.8150925/18.9708525,72.8159397"
