itinerary_id,n_segments,length_m
1,69,5149.221549822785
2,52,5508.77681937056
3,51,7928.0317856377
4,65,6165.617824330452
5,63,3944.960587235623
6,31,4091.5574127040964
7,44,3128.7021485561327
8,51,6389.764998097355
9,30,3101.543373862444
10,23,2001.701468678642
11,33,3801.74268650555
12,45,6474.354557267132
13,43,5725.857421655229
14,46,5538.134182449118
15,48,6506.63412915307
16,51,5652.0529620569405
17,27,3030.49941293141
18,21,1738.5220570090312
19,33,4527.347455143309
20,11,1035.1105616658629
21,24,3499.742181282093
22,32,4054.2526079878794
23,21,2727.8758614792537
24,53,4237.345959851415
25,18,1613.3501487721717
26,6,389.2888068260034
27,4,1010.3039052465406
