video_id,frame_file,timestamp_sec,face_count,max_confidence,status
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000005.jpg,300.027424,5,97,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000006.jpg,304.02064,1,97,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000007.jpg,312.00528,2,98,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000008.jpg,329.024608,1,94,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000009.jpg,421.007712,4,92,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000010.jpg,453.03104,53,93,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000011.jpg,463.020704,3,92,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000012.jpg,472.022944,22,90,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000013.jpg,522.026304,3,93,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000014.jpg,526.032256,1,95,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000015.jpg,529.046304,1,92,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000016.jpg,592.034624,26,95,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000017.jpg,593.036096,98,90,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000018.jpg,595.030208,1,92,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000019.jpg,603.019072,34,93,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000020.jpg,641.01536,27,100,skipped
day_8_5_06_2026_18.2,day_8_5_06_2026_18.2_face000021.jpg,710.021952,79,95,skipped
day_8_5_06_2026_24.11,day_8_5_06_2026_24.11_face000000.jpg,24.99831,13,94,skipped
day_8_5_06_2026_24.11,day_8_5_06_2026_24.11_face000001.jpg,36.972748,2,96,skipped
day_8_5_06_2026_24.11,day_8_5_06_2026_24.11_face000002.jpg,37.974904,17,90,skipped
day_8_5_06_2026_24.11,day_8_5_06_2026_24.11_face000003.jpg,77.983784,1,90,skipped
day_8_5_06_2026_24.11,day_8_5_06_2026_24.11_face000004.jpg,80.003056,3,95,skipped
day_8_5_06_2026_24.11,day_8_5_06_2026_24.11_face000005.jpg,87.00108,4,96,skipped
day_8_5_06_2026_24.10,day_8_5_06_2026_24.10_face000000.jpg,23.05296,5,97,skipped
day_8_5_06_2026_24.10,day_8_5_06_2026_24.10_face000001.jpg,26.035266,2,94,skipped
day_8_5_06_2026_24.10,day_8_5_06_2026_24.10_face000002.jpg,65.047656,42,92,skipped
day_8_5_06_2026_24.10,day_8_5_06_2026_24.10_face000003.jpg,67.045644,17,95,skipped
day_8_5_06_2026_24.10,day_8_5_06_2026_24.10_face000004.jpg,77.958672,5,93,skipped
day_8_5_06_2026_24.10,day_8_5_06_2026_24.10_face000005.jpg,246.06672,80,96,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000000.jpg,25.033342,3,95,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000001.jpg,261.05456,1,97,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000002.jpg,290.988736,1,92,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000003.jpg,329.965888,65,92,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000004.jpg,353.9776,3,95,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000005.jpg,363.986432,78,91,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000006.jpg,514.986784,1,90,skipped
day_8_5_06_2026_24.2,day_8_5_06_2026_24.2_face000007.jpg,713.988736,99,91,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000000.jpg,142.991712,8,98,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000001.jpg,260.971248,1,92,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000002.jpg,344.981888,1,96,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000003.jpg,691.012416,17,96,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000004.jpg,749.993728,1,93,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000005.jpg,837.007296,1,98,skipped
day_8_5_06_2026_18.7,day_8_5_06_2026_18.7_face000006.jpg,946.99552,1,91,skipped
day_8_5_06_2026_24.4,day_8_5_06_2026_24.4_face000000.jpg,48.977716,15,95,skipped
day_8_5_06_2026_24.4,day_8_5_06_2026_24.4_face000001.jpg,55.979048,1,90,skipped
day_8_5_06_2026_24.4,day_8_5_06_2026_24.4_face000002.jpg,69.974424,1,95,skipped
day_8_5_06_2026_24.4,day_8_5_06_2026_24.4_face000003.jpg,231.01288,28,94,skipped
day_8_5_06_2026_24.4,day_8_5_06_2026_24.4_face000004.jpg,237.004496,17,93,skipped
day_8_5_06_2026_24.4,day_8_5_06_2026_24.4_face000005.jpg,331.997056,1,91,skipped
