video_id,source_folder,video_name,original_video_filename,frame_filename,frame_number,timestamp_sec,timestamp_display
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000004.jpg,4,480,0:08:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000005.jpg,5,600,0:10:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000006.jpg,6,720,0:12:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000007.jpg,7,840,0:14:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000008.jpg,8,960,0:16:00
day_10_5_08_2026_19.2,day_10_5_08_2026,19.2,19.2.MP4,day_10_5_08_2026_19.2_frame000009.jpg,9,1080,0:18:00
day_10_5_08_2026_19.3,day_10_5_08_2026,19.3,19.3.MP4,day_10_5_08_2026_19.3_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.3,day_10_5_08_2026,19.3,19.3.MP4,day_10_5_08_2026_19.3_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.4,day_10_5_08_2026,19.4,19.4.MP4,day_10_5_08_2026_19.4_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.4,day_10_5_08_2026,19.4,19.4.MP4,day_10_5_08_2026_19.4_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.5,day_10_5_08_2026,19.5,19.5.MP4,day_10_5_08_2026_19.5_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.5,day_10_5_08_2026,19.5,19.5.MP4,day_10_5_08_2026_19.5_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.6,day_10_5_08_2026,19.6,19.6.MP4,day_10_5_08_2026_19.6_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.6,day_10_5_08_2026,19.6,19.6.MP4,day_10_5_08_2026_19.6_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.6,day_10_5_08_2026,19.6,19.6.MP4,day_10_5_08_2026_19.6_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_19.7,day_10_5_08_2026,19.7,19.7.MP4,day_10_5_08_2026_19.7_frame000000.jpg,0,0,0:00:00
day_10_5_08_2026_19.7,day_10_5_08_2026,19.7,19.7.MP4,day_10_5_08_2026_19.7_frame000001.jpg,1,120,0:02:00
day_10_5_08_2026_19.7,day_10_5_08_2026,19.7,19.7.MP4,day_10_5_08_2026_19.7_frame000002.jpg,2,240,0:04:00
day_10_5_08_2026_19.7,day_10_5_08_2026,19.7,19.7.MP4,day_10_5_08_2026_19.7_frame000003.jpg,3,360,0:06:00
day_10_5_08_2026_19.7,day_10_5_08_2026,19.7,19.7.MP4,day_10_5_08_2026_19.7_frame000004.jpg,4,480,0:08:00
