video_id,source_folder,video_name,original_video_filename,unique_video_filename,file_size_bytes,file_size_mb,file_created_at,file_modified_at,video_duration_sec,video_fps,video_resolution_wxh,video_codec,camera_model,recording_datetime,exif_filename,exif_file_path,exif_relative_path
test_gps_test_1_2195e331,test,gps_test_1,gps_test_1.MP4,test_gps_test_1.MP4_2195e331,116085557,110.70781421661377,2025-03-24 21:22:07.480,2025-03-24 21:22:07.480,,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:24 13:07:14,test_gps_test_1_2195e331_exif.txt,exif_files/test_gps_test_1_2195e331_exif.txt,../exif_files/test_gps_test_1_2195e331_exif.txt
test_gps_test_2_9ef0976c,test,gps_test_2,gps_test_2.MP4,test_gps_test_2.MP4_9ef0976c,116496187,111.09942150115967,2025-03-24 21:22:12.380,2025-03-24 21:22:12.380,,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:24 13:07:56,test_gps_test_2_9ef0976c_exif.txt,exif_files/test_gps_test_2_9ef0976c_exif.txt,../exif_files/test_gps_test_2_9ef0976c_exif.txt
test_gps_test_3_d33e49e2,test,gps_test_3,gps_test_3.MP4,test_gps_test_3.MP4_d33e49e2,105559259,100.6691541671753,2025-03-24 21:22:17.010,2025-03-24 21:22:17.010,,29.97002997,3840x2160,hvc1,HERO13 Black,2025:03:24 13:11:17,test_gps_test_3_d33e49e2_exif.txt,exif_files/test_gps_test_3_d33e49e2_exif.txt,../exif_files/test_gps_test_3_d33e49e2_exif.txt
8_itinerary_5_1bd3aff8,8,itinerary_5,itinerary_5.MP4,8_itinerary_5.MP4_1bd3aff8,2960846382,2823.6831493377686,2025-05-02 10:24:44.070,2025-05-02 10:24:44.070,525.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 10:06:41,8_itinerary_5_1bd3aff8_exif.txt,exif_files/8_itinerary_5_1bd3aff8_exif.txt,../exif_files/8_itinerary_5_1bd3aff8_exif.txt
test_test_drive_5_228690fc,test,test_drive_5,test_drive_5.mp4,test_test_drive_5.mp4_228690fc,1518379358,1448.0393962860107,2025-03-23 12:55:27.760,2025-03-23 12:55:27.760,450.0,29.97,3840x2160,hvc1,,2025:03:23 02:24:12,test_test_drive_5_228690fc_exif.txt,exif_files/test_test_drive_5_228690fc_exif.txt,../exif_files/test_test_drive_5_228690fc_exif.txt
8_itinerary_2_1_9e1a1e4f,8,itinerary_2_1,itinerary_2_1.MP4,8_itinerary_2_1.MP4_9e1a1e4f,4891749113,4665.135491371155,2025-05-02 10:50:16.990,2025-05-02 10:50:16.990,868.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 07:41:53,8_itinerary_2_1_9e1a1e4f_exif.txt,exif_files/8_itinerary_2_1_9e1a1e4f_exif.txt,../exif_files/8_itinerary_2_1_9e1a1e4f_exif.txt
test_test_drive_6_1870850f,test,test_drive_6,test_drive_6.mp4,test_test_drive_6.mp4_1870850f,1968278344,1877.0965042114258,2025-03-23 20:58:13.200,2025-03-23 20:58:13.200,452.0,29.97,3840x2160,hvc1,,2025:03:23 02:27:21,test_test_drive_6_1870850f_exif.txt,exif_files/test_test_drive_6_1870850f_exif.txt,../exif_files/test_test_drive_6_1870850f_exif.txt
8_itinerary_2_2_f9b1f7b7,8,itinerary_2_2,itinerary_2_2.MP4,8_itinerary_2_2.MP4_f9b1f7b7,4944635867,4715.57223033905,2025-05-02 10:50:37.940,2025-05-02 10:50:37.940,877.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 07:59:16,8_itinerary_2_2_f9b1f7b7_exif.txt,exif_files/8_itinerary_2_2_f9b1f7b7_exif.txt,../exif_files/8_itinerary_2_2_f9b1f7b7_exif.txt
test_test_drive_8_51a97368,test,test_drive_8,test_drive_8.mp4,test_test_drive_8.mp4_51a97368,2751339207,2623.881537437439,2025-03-23 20:59:34.860,2025-03-23 20:59:34.860,720.0,29.97,3840x2160,hvc1,,2025:03:24 01:32:42,test_test_drive_8_51a97368_exif.txt,exif_files/test_test_drive_8_51a97368_exif.txt,../exif_files/test_test_drive_8_51a97368_exif.txt
8_itinerary_1_89c2ec19,8,itinerary_1,itinerary_1.MP4,8_itinerary_1.MP4_89c2ec19,6786403734,6472.0189418792725,2025-05-02 10:53:45.310,2025-05-02 10:53:45.310,1204.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:10 07:16:12,8_itinerary_1_89c2ec19_exif.txt,exif_files/8_itinerary_1_89c2ec19_exif.txt,../exif_files/8_itinerary_1_89c2ec19_exif.txt
6_itinerary_4_1_0f1a9ba4,6,itinerary_4_1,itinerary_4_1.MP4,6_itinerary_4_1.MP4_0f1a9ba4,11916274006,11364.244466781616,2025-05-01 20:55:29.300,2025-05-01 20:55:29.300,2114.0,29.97002997,3840x2160,hvc1,HERO13 Black,2025:04:06 04:52:30,6_itinerary_4_1_0f1a9ba4_exif.txt,exif_files/6_itinerary_4_1_0f1a9ba4_exif.txt,../exif_files/6_itinerary_4_1_0f1a9ba4_exif.txt
