video_id,source_folder,video_name,original_video_filename,frame_filename,frame_number,timestamp_sec,timestamp_display,video_fps,video_duration_sec,md5_hash
day_11_6_2026_GX012517,day_11_6_2026,GX012517,GX012517.MP4,day_11_6_2026_GX012517_frame000000.jpg,0,0.0,0:00:00,100.0,124.928,42ae8dd3198385fd73cd383e622c02f0
day_11_6_2026_GX012517,day_11_6_2026,GX012517,GX012517.MP4,day_11_6_2026_GX012517_frame000001.jpg,12000,120.0,0:02:00,100.0,124.928,6147f3c89ec496e9aaf6f943edd234b3
day_11_6_2026_GX012518,day_11_6_2026,GX012518,GX012518.MP4,day_11_6_2026_GX012518_frame000000.jpg,0,0.0,0:00:00,100.0,414.66,54f80f5b6b4f54264683bc6ff2e0ba4f
day_11_6_2026_GX012518,day_11_6_2026,GX012518,GX012518.MP4,day_11_6_2026_GX012518_frame000001.jpg,12000,120.0,0:02:00,100.0,414.66,9c779ea419b5205e73db1d911a7ab586
day_11_6_2026_GX012518,day_11_6_2026,GX012518,GX012518.MP4,day_11_6_2026_GX012518_frame000002.jpg,24000,240.0,0:04:00,100.0,414.66,7a4ab2cec7a79ab4465becb52995cde8
day_11_6_2026_GX012518,day_11_6_2026,GX012518,GX012518.MP4,day_11_6_2026_GX012518_frame000003.jpg,36000,360.0,0:06:00,100.0,414.66,358538fcd055f5f4f84f90b68754997b
day_11_6_2026_GX012519,day_11_6_2026,GX012519,GX012519.MP4,day_11_6_2026_GX012519_frame000000.jpg,0,0.0,0:00:00,100.0,60.330667,753a6beee22b5949835c6e2540a71cf9
day_11_6_2026_GX012520,day_11_6_2026,GX012520,GX012520.MP4,day_11_6_2026_GX012520_frame000000.jpg,0,0.0,0:00:00,100.0,4.672,a7994f82bd2bb196238f7e5a38b525f4
day_11_6_2026_GX012521,day_11_6_2026,GX012521,GX012521.MP4,day_11_6_2026_GX012521_frame000000.jpg,0,0.0,0:00:00,100.0,375.146667,3cdf82aa496d8d0bceaec2948c9c0021
day_11_6_2026_GX012521,day_11_6_2026,GX012521,GX012521.MP4,day_11_6_2026_GX012521_frame000001.jpg,12000,120.0,0:02:00,100.0,375.146667,5dc34c6f90ed69ef8bbe7f1ea79e6e06
day_11_6_2026_GX012521,day_11_6_2026,GX012521,GX012521.MP4,day_11_6_2026_GX012521_frame000002.jpg,24000,240.0,0:04:00,100.0,375.146667,489c46d1ab30705aecf0dba9e0e9f86e
day_11_6_2026_GX012521,day_11_6_2026,GX012521,GX012521.MP4,day_11_6_2026_GX012521_frame000003.jpg,36000,360.0,0:06:00,100.0,375.146667,2775170a3c72af66a9caa774a293c9f5
day_11_6_2026_GX012522,day_11_6_2026,GX012522,GX012522.MP4,day_11_6_2026_GX012522_frame000000.jpg,0,0.0,0:00:00,100.0,60.906667,cd6280a7bd883f6deee804005d27fd56
