itinerary_id,n_points,total_distance_m,total_distance_km
1,53,99506.7,99.5067
2,69,98665.69999999998,98.66569999999999
3,100,99532.60000000003,99.53260000000003
4,77,99138.99999999999,99.13899999999998
5,82,99858.29999999994,99.85829999999994
6,72,97430.39999999998,97.43039999999998
7,57,99907.09999999999,99.90709999999999
8,45,99489.09999999999,99.4891
9,70,99773.40000000001,99.77340000000001
10,48,99849.90000000001,99.8499
11,63,98794.40000000001,98.79440000000001
12,71,98910.80000000002,98.91080000000002
13,50,99873.80000000003,99.87380000000003
14,98,99218.40000000002,99.21840000000002
15,30,99392.5,99.3925
16,15,25472.999999999996,25.472999999999995
