itinerary_id,n_points,total_distance_m,total_distance_km
1,53,93166.3,93.1663
2,69,97315.09999999998,97.31509999999997
3,100,123343.00000000009,123.34300000000009
4,77,114244.90000000004,114.24490000000004
5,82,103319.99999999994,103.31999999999994
6,72,112275.90000000001,112.27590000000001
7,57,111188.40000000001,111.18840000000002
8,45,108546.0,108.546
9,70,99409.90000000004,99.40990000000004
10,48,119708.80000000002,119.70880000000001
11,63,109493.5,109.4935
12,71,108244.60000000002,108.24460000000002
13,50,111478.60000000002,111.47860000000001
14,98,118066.00000000006,118.06600000000006
15,30,109635.79999999999,109.63579999999999
16,15,35306.6,35.306599999999996
